Box	Combo	Slot 1	Slot 2	Slot 3
SO-V1	Vegan	Garden Rainbow	Vegan Bomb	Avocado
SO-V2	Vegan	Veggie Dragon	Vegan Bomb	Avocado
SO-V3	Vegan	Veggie Dragon	Vegan Bomb	Yam Tempura
SO-FV1	Fish & Veggie	Veggie Dragon	Salmon Tartare
SO-FV2	Fish & Veggie	Veggie Dragon	Salmon Tartare
SO-FV3	Fish & Veggie	Garden Rainbow	Crunchy Salmon
SO-FS1	Fish & Seafood	Shrimp Tempura	Avocado
SO-FS2	Fish & Seafood	California Roll	Avocado
SO-FS3	Fish & Seafood	California Roll	Yam Tempura
SO-FS4	Fish & Seafood	California Roll	Yam Tempura
SO-AO1	Standalone	Salmon Tartare (4 pc)
SO-AO2	Standalone	Veggie Tartare (4 pc)
SO-AO3	Standalone	Teriyaki Bomb (4 pc)
